token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
35352,NIFTY27JUN2830000CE,NIFTY,27JUN2028,3000000.000000,65,OPTIDX,NFO,5.000000
45490,NIFTY10MAR2624350CE,NIFTY,10MAR2026,2435000.000000,65,OPTIDX,NFO,5.000000
45563,NIFTY10MAR2625400CE,NIFTY,10MAR2026,2540000.000000,65,OPTIDX,NFO,5.000000
45564,NIFTY10MAR2625400PE,NIFTY,10MAR2026,2540000.000000,65,OPTIDX,NFO,5.000000
45571,NIFTY10MAR2625550CE,NIFTY,10MAR2026,2555000.000000,65,OPTIDX,NFO,5.000000
45577,NIFTY10MAR2625600CE,NIFTY,10MAR2026,2560000.000000,65,OPTIDX,NFO,5.000000
45578,NIFTY10MAR2625600PE,NIFTY,10MAR2026,2560000.000000,65,OPTIDX,NFO,5.000000
45620,NIFTY10MAR2625850CE,NIFTY,10MAR2026,2585000.000000,65,OPTIDX,NFO,5.000000
45624,NIFTY10MAR2625850PE,NIFTY,10MAR2026,2585000.000000,65,OPTIDX,NFO,5.000000
45625,NIFTY10MAR2625900CE,NIFTY,10MAR2026,2590000.000000,65,OPTIDX,NFO,5.000000
45630,NIFTY10MAR2625900PE,NIFTY,10MAR2026,2590000.000000,65,OPTIDX,NFO,5.000000
45642,NIFTY10MAR2626100PE,NIFTY,10MAR2026,2610000.000000,65,OPTIDX,NFO,5.000000
45647,NIFTY10MAR2626200PE,NIFTY,10MAR2026,2620000.000000,65,OPTIDX,NFO,5.000000
45737,NIFTY10MAR2627400CE,NIFTY,10MAR2026,2740000.000000,65,OPTIDX,NFO,5.000000
45752,NIFTY10MAR2627600PE,NIFTY,10MAR2026,2760000.000000,65,OPTIDX,NFO,5.000000
50444,NIFTY30JUN2614000PE,NIFTY,30JUN2026,1400000.000000,65,OPTIDX,NFO,5.000000
53617,NIFTY28DEC2722000PE,NIFTY,28DEC2027,2200000.000000,65,OPTIDX,NFO,5.000000
54506,NIFTY30MAR2623200CE,NIFTY,30MAR2026,2320000.000000,65,OPTIDX,NFO,5.000000
54520,NIFTY30MAR2623550CE,NIFTY,30MAR2026,2355000.000000,65,OPTIDX,NFO,5.000000
54533,NIFTY30MAR2623850PE,NIFTY,30MAR2026,2385000.000000,65,OPTIDX,NFO,5.000000
54562,NIFTY30MAR2624650CE,NIFTY,30MAR2026,2465000.000000,65,OPTIDX,NFO,5.000000
